Name;Didok-Nummer;geopos;lod
La Heutte;8504303.0;47.1969872553, 7.24882537292;http://lod.opentransportdata.swiss/didok/8504303
Gümligen;8507003.0;46.9336969993, 7.50101333722;http://lod.opentransportdata.swiss/didok/8507003
Henggart;8506046.0;47.5638451781, 8.68486432256;http://lod.opentransportdata.swiss/didok/8506046
Itingen;8500025.0;47.4661985009, 7.78579886357;http://lod.opentransportdata.swiss/didok/8500025
Horgen;8503204.0;47.2500210602, 8.58593303431;http://lod.opentransportdata.swiss/didok/8503204
Fribourg/Freiburg Poya;8519133.0;46.8054534632, 7.16061182849;http://lod.opentransportdata.swiss/didok/8519133
Les Evouettes;8501425.0;46.3700118758, 6.85897166691;http://lod.opentransportdata.swiss/didok/8501425
Fischenthal;8503136.0;47.3379908168, 8.94245229382;http://lod.opentransportdata.swiss/didok/8503136
Fehraltorf;8503302.0;47.3886491743, 8.75111470392;http://lod.opentransportdata.swiss/didok/8503302
Flüelen;8505112.0;46.9155732579, 8.64046745571;http://lod.opentransportdata.swiss/didok/8505112
Evionnaz;8501404.0;46.1494044622, 6.94913750354;http://lod.opentransportdata.swiss/didok/8501404
Gibswil;8503137.0;47.3379908168, 8.94245229382;http://lod.opentransportdata.swiss/didok/8503137
Flawil;8506209.0;47.4066955047, 9.19898135734;http://lod.opentransportdata.swiss/didok/8506209
Glarus;8503230.0;47.0321753852, 9.01317359471;http://lod.opentransportdata.swiss/didok/8503230
Etoy;8501042.0;46.4854242945, 6.42253607894;http://lod.opentransportdata.swiss/didok/8501042
Lugano-Paradiso;8505301.0;45.9901908761, 8.95630702464;http://lod.opentransportdata.swiss/didok/8505301
Leuggelbach;8503235.0;46.9284024802, 9.07907929418;http://lod.opentransportdata.swiss/didok/8503235
Lengnau;8500201.0;47.1833445244, 7.36682235891;http://lod.opentransportdata.swiss/didok/8500201
Martigny;8501500.0;46.1084253874, 7.08192414842;http://lod.opentransportdata.swiss/didok/8501500
Lyssach;8508004.0;47.0680201574, 7.57960693512;http://lod.opentransportdata.swiss/didok/8508004
Lupfig;8502237.0;47.4450731343, 8.20862623678;http://lod.opentransportdata.swiss/didok/8502237
Luzern;8505000.0;47.0562397859, 8.29182679396;http://lod.opentransportdata.swiss/didok/8505000
Lugano;8505300.0;46.0350366617, 9.00076819935;http://lod.opentransportdata.swiss/didok/8505300
Lottstetten;8503420.0;;http://lod.opentransportdata.swiss/didok/8503420
Lutry;8501122.0;;http://lod.opentransportdata.swiss/didok/8501122
Pfäffikon ZH;8503301.0;47.367786216, 8.79490964365;http://lod.opentransportdata.swiss/didok/8503301
Pont-Céard;8501013.0;46.2891576759, 6.15715347601;http://lod.opentransportdata.swiss/didok/8501013
Palézieux;8504014.0;46.5599590996, 6.83301277824;http://lod.opentransportdata.swiss/didok/8504014
Pieterlen;8500200.0;47.175220971, 7.32896517428;http://lod.opentransportdata.swiss/didok/8500200
Pully;8501121.0;46.5227224676, 6.67033758;http://lod.opentransportdata.swiss/didok/8501121
Nidfurn-Haslen;8503234.0;46.9284024802, 9.07907929418;http://lod.opentransportdata.swiss/didok/8503234
Oberbuchsiten;8500213.0;47.3135492373, 7.76089513848;http://lod.opentransportdata.swiss/didok/8500213
Olten Hammer;8500217.0;47.3462406235, 7.90120042243;http://lod.opentransportdata.swiss/didok/8500217
Neuchâtel;8504221.0;47.0106288909, 6.93893723385;http://lod.opentransportdata.swiss/didok/8504221
Niederglatt;8503313.0;47.4944808501, 8.4998945526;http://lod.opentransportdata.swiss/didok/8503313
Oberglatt;8503312.0;47.4798239176, 8.52516229245;http://lod.opentransportdata.swiss/didok/8503312
Muri AG;8502215.0;47.2726373842, 8.34063126126;http://lod.opentransportdata.swiss/didok/8502215
Netstal;8503228.0;47.0321753852, 9.01317359471;http://lod.opentransportdata.swiss/didok/8503228
Opfikon;8503340.0;47.4315360705, 8.5730568092;http://lod.opentransportdata.swiss/didok/8503340
Nyon;8501030.0;46.3875952832, 6.22714546739;http://lod.opentransportdata.swiss/didok/8501030
Mellingen Heitersberg;8516219.0;47.4224764998, 8.27525176187;http://lod.opentransportdata.swiss/didok/8516219
Müllheim-Wigoltingen;8506103.0;47.6042055621, 9.00489778992;http://lod.opentransportdata.swiss/didok/8506103
Münchenstein;8500119.0;47.5199398502, 7.61837047458;http://lod.opentransportdata.swiss/didok/8500119
Meggen Zentrum;8505018.0;47.0462343068, 8.37544923629;http://lod.opentransportdata.swiss/didok/8505018
Massongex;8501420.0;46.2357651943, 6.98340292607;http://lod.opentransportdata.swiss/didok/8501420
Märwil;8506184.0;47.5338316835, 9.04674026077;http://lod.opentransportdata.swiss/didok/8506184
Mels;8509412.0;47.0020738677, 9.33873226705;http://lod.opentransportdata.swiss/didok/8509412
Murg;8509417.0;47.0913830538, 9.22417331506;http://lod.opentransportdata.swiss/didok/8509417
Mies;8501014.0;46.3052374679, 6.16150480674;http://lod.opentransportdata.swiss/didok/8501014
Möhlin;8500302.0;;http://lod.opentransportdata.swiss/didok/8500302
Bern Bümpliz Süd;8504106.0;46.9489028306, 7.40730463004;http://lod.opentransportdata.swiss/didok/8504106
Boswil-Bünzen;8502214.0;47.2989745446, 8.30967979782;http://lod.opentransportdata.swiss/didok/8502214
Bretonnières;8501105.0;46.7172426549, 6.47118311693;http://lod.opentransportdata.swiss/didok/8501105
Brügg BE;8504416.0;47.1295141335, 7.27895553246;http://lod.opentransportdata.swiss/didok/8504416
Blumenau;8503113.0;47.2300252153, 8.85584994139;http://lod.opentransportdata.swiss/didok/8503113
Bodio TI;8505207.0;46.3475552818, 8.89515818232;http://lod.opentransportdata.swiss/didok/8505207
Bôle;8504218.0;46.9721939073, 6.85719222157;http://lod.opentransportdata.swiss/didok/8504218
Bowil;8508204.0;46.8904735539, 7.70222011229;http://lod.opentransportdata.swiss/didok/8508204
Birr;8502247.0;47.4335168247, 8.21321897985;http://lod.opentransportdata.swiss/didok/8502247
Bern;8507000.0;46.9489028306, 7.40730463004;http://lod.opentransportdata.swiss/didok/8507000
Courtemaîche;8500127.0;47.4719077244, 7.04335744671;http://lod.opentransportdata.swiss/didok/8500127
Châtillens;8504017.0;46.5599590996, 6.83301277824;http://lod.opentransportdata.swiss/didok/8504017
Courtelary;8504307.0;47.1777922587, 7.07354641395;http://lod.opentransportdata.swiss/didok/8504307
Chambésy;8501020.0;46.2387089332, 6.15157918495;http://lod.opentransportdata.swiss/didok/8501020
Chavornay;8501112.0;46.7101031607, 6.58149706517;http://lod.opentransportdata.swiss/didok/8501112
Cousset;8504136.0;46.8072425765, 6.98643816273;http://lod.opentransportdata.swiss/didok/8504136
Cornaux;8504223.0;47.0344151713, 7.01838912566;http://lod.opentransportdata.swiss/didok/8504223
Cham;8502203.0;47.2006432766, 8.44952483663;http://lod.opentransportdata.swiss/didok/8502203
Court;8500104.0;47.2411060102, 7.3601473818;http://lod.opentransportdata.swiss/didok/8500104
Chambrelien;8504234.0;;http://lod.opentransportdata.swiss/didok/8504234
Rheinfelden Augarten;8500313.0;47.5572761336, 7.80560413394;http://lod.opentransportdata.swiss/didok/8500313
Rheinfelden;8500301.0;47.5572761336, 7.80560413394;http://lod.opentransportdata.swiss/didok/8500301
Reutlingen;8506036.0;47.4981247953, 8.73533711725;http://lod.opentransportdata.swiss/didok/8506036
Rapperswil;8503110.0;47.2300252153, 8.85584994139;http://lod.opentransportdata.swiss/didok/8503110
Salez-Sennwald;8509402.0;47.2452414708, 9.4780868083;http://lod.opentransportdata.swiss/didok/8509402
Montmollin-Montezillon;8504235.0;46.9830514029, 6.79659857466;http://lod.opentransportdata.swiss/didok/8504235
Mannenbach-Salenstein;8506134.0;47.6608088697, 9.05856941002;http://lod.opentransportdata.swiss/didok/8506134
Mettmenstetten;8502225.0;47.249152991, 8.46506983381;http://lod.opentransportdata.swiss/didok/8502225
Merlischachen;8505011.0;47.0837705765, 8.45108949531;http://lod.opentransportdata.swiss/didok/8505011
Märstetten;8506104.0;47.5901904561, 9.07863006327;http://lod.opentransportdata.swiss/didok/8506104
Mägenwil;8502106.0;47.4135564086, 8.23479888927;http://lod.opentransportdata.swiss/didok/8502106
Marthalen;8506048.0;47.6195855478, 8.63935315134;http://lod.opentransportdata.swiss/didok/8506048
Mezzovico;8505217.0;46.098089892, 8.91257871229;http://lod.opentransportdata.swiss/didok/8505217
Mellikon;8503414.0;47.5647370699, 8.34820865961;http://lod.opentransportdata.swiss/didok/8503414
Melide;8505302.0;45.9575432762, 8.95000956104;http://lod.opentransportdata.swiss/didok/8505302
Hüttlingen-Mettendorf;8506102.0;47.5781976647, 8.98571595685;http://lod.opentransportdata.swiss/didok/8506102
Herzogenbuchsee;8508008.0;47.1897422556, 7.70719592796;http://lod.opentransportdata.swiss/didok/8508008
Hochdorf Schönau;8502042.0;47.1657574261, 8.29172354409;http://lod.opentransportdata.swiss/didok/8502042
Hendschiken;8502211.0;47.3858642451, 8.21692003014;http://lod.opentransportdata.swiss/didok/8502211
Heerbrugg;8506317.0;47.4276454168, 9.63818879646;http://lod.opentransportdata.swiss/didok/8506317
