didok85;Name;URL;geopos;lod;Linie;Linienname;Betriebspunkt
8508181.0;Langenthal Süd;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G491.pdf;47.2157021108, 7.80374998863;http://lod.opentransportdata.swiss/didok/8508181;491.0;Langenthal - Huttwil - Wolhusen;LTHS
8508186.0;Rohrbach;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G491.pdf;47.1332483009, 7.81175731778;http://lod.opentransportdata.swiss/didok/8508186;491.0;Langenthal - Huttwil - Wolhusen;RBA
8508187.0;Huttwil;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G491.pdf;47.1090792677, 7.84737451178;http://lod.opentransportdata.swiss/didok/8508187;491.0;Langenthal - Huttwil - Wolhusen;HWIL
8517419.0;Gettnau Güteranlage;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G491.pdf;47.1399361923, 7.96769666957;http://lod.opentransportdata.swiss/didok/8517419;491.0;Langenthal - Huttwil - Wolhusen;GETG
8508174.0;Gutenburg;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G492.pdf;47.191557526, 7.79307451776;http://lod.opentransportdata.swiss/didok/8508174;492.0;Langenthal - Huttwil - Ramsei;GUBU
8508202.0;Konolfingen;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G331.pdf;46.8878982381, 7.60910009923;http://lod.opentransportdata.swiss/didok/8508202;331.0;Bern - Langnau - Wolhusen - Luzern;KF
8508240.0;Obermatt;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G331.pdf;;http://lod.opentransportdata.swiss/didok/8508240;331.0;Bern - Langnau - Wolhusen - Luzern;OM
8508208.0;Trubschachen;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G331.pdf;46.9097994452, 7.83789309417;http://lod.opentransportdata.swiss/didok/8508208;331.0;Bern - Langnau - Wolhusen - Luzern;TSCH
8505000.0;Luzern;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G331.pdf;47.0562397859, 8.29182679396;http://lod.opentransportdata.swiss/didok/8505000;331.0;Bern - Langnau - Wolhusen - Luzern;LZ
8500010.0;Basel SBB;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G341.pdf;47.5591452444, 7.59458004936;http://lod.opentransportdata.swiss/didok/8500010;341.0;Delémont - Basel SBB - Basel Bad Bf;BS
